停止理由,セル番号,停止開始時刻,停止解消時刻,停止時間,大工程,中工程,MU名
故障,B_1,2024/05/30 09:23:57.4625,2024/05/30 09:24:36.0116,38.5490,JSS_AF,B,WhiteBody:2505
故障,FLRCOMP_1,2024/05/30 09:24:36.0803,2024/05/30 09:25:08.5079,32.4276,JSS_WE,FLRCOMP,WhiteBody:3263
故障,F1_1,2024/05/30 09:24:08.6785,2024/05/30 09:25:08.8853,1:00.2068,JSS_WE,F1,WhiteBody:3208
故障,substrateInspectione_1,2024/05/30 09:26:44.5986,2024/05/30 09:27:11.9690,27.3704,JSS_PA,substrateInspectione,WhiteBody:2935
故障,D_1,2024/05/30 09:25:31.2646,2024/05/30 09:27:15.8745,1:44.6099,JSS_AF,D,WhiteBody:2450
故障,BRAZE_1,2024/05/30 09:26:54.1333,2024/05/30 09:27:16.4914,22.3581,JSS_WE,BRAZE,WhiteBody:3241
故障,F2_1,2024/05/30 09:27:22.6467,2024/05/30 09:27:36.3999,13.7532,JSS_WE,F2,WhiteBody:3198
故障,liquidWrapping_1,2024/05/30 09:27:22.9670,2024/05/30 09:27:59.5148,36.5479,JSS_PA,liquidWrapping,WhiteBody:2653
故障,substrateInspectione_1,2024/05/30 09:28:08.1644,2024/05/30 09:28:14.8776,6.7133,JSS_PA,substrateInspectione,WhiteBody:2936
故障,BRAZE_1,2024/05/30 09:30:49.6087,2024/05/30 09:31:07.5728,17.9641,JSS_WE,BRAZE,WhiteBody:3245
故障,insertJig_1,2024/05/30 09:30:45.6268,2024/05/30 09:31:12.0653,26.4385,JSS_PA,insertJig,WhiteBody:3158
故障,F3_1,2024/05/30 09:32:09.9707,2024/05/30 09:32:43.1805,33.2098,JSS_WE,F3,WhiteBody:3189
故障,BRAZE_1,2024/05/30 09:33:17.2437,2024/05/30 09:33:31.1261,13.8824,JSS_WE,BRAZE,WhiteBody:3247
故障,TGSub_1,2024/05/30 09:33:59.2827,2024/05/30 09:34:13.6576,14.3749,JSS_WE,TGSub,SubPart:8648
故障,removeJig_1,2024/05/30 09:34:15.9561,2024/05/30 09:34:23.2720,7.3159,JSS_PA,removeJig,WhiteBody:2639
故障,F2_1,2024/05/30 09:36:05.1722,2024/05/30 09:36:18.7284,13.5562,JSS_WE,F2,WhiteBody:3206
故障,sealerOV_1,2024/05/30 09:35:35.9892,2024/05/30 09:36:38.7669,1:02.7777,JSS_PA,sealerOV,WhiteBody:2969
故障,FRFLR_1,2024/05/30 09:35:31.4691,2024/05/30 09:37:46.8406,2:15.3715,JSS_WE,FRFLR,WhiteBody:3291
故障,BRAZE_1,2024/05/30 09:39:21.0578,2024/05/30 09:39:31.0344,9.9767,JSS_WE,BRAZE,WhiteBody:3253
故障,substrateInspectione_1,2024/05/30 09:39:55.2819,2024/05/30 09:40:03.8507,8.5688,JSS_PA,substrateInspectione,WhiteBody:2948
故障,BRAZE_1,2024/05/30 09:44:41.6753,2024/05/30 09:44:48.6678,6.9924,JSS_WE,BRAZE,WhiteBody:3258
故障,insertJig_1,2024/05/30 09:46:55.2273,2024/05/30 09:47:18.3177,23.0904,JSS_PA,insertJig,WhiteBody:3177
故障,sealerOV_1,2024/05/30 09:46:39.1160,2024/05/30 09:47:24.2111,45.0951,JSS_PA,sealerOV,WhiteBody:2979
故障,liquidWrapping_1,2024/05/30 09:48:11.0374,2024/05/30 09:48:31.0404,20.0030,JSS_PA,liquidWrapping,WhiteBody:2673
故障,coatingInspection_1,2024/05/30 09:48:18.3246,2024/05/30 09:48:31.4328,13.1082,JSS_PA,coatingInspection,WhiteBody:2763
故障,BRAZE_1,2024/05/30 09:49:05.4132,2024/05/30 09:49:32.2059,26.7927,JSS_WE,BRAZE,WhiteBody:3263
故障,removeJig_1,2024/05/30 09:50:23.9865,2024/05/30 09:50:35.5173,11.5308,JSS_PA,removeJig,WhiteBody:2655
故障,FRFLR_1,2024/05/30 09:49:54.7117,2024/05/30 09:50:37.2199,42.5082,JSS_WE,FRFLR,WhiteBody:3304
故障,insertJig_1,2024/05/30 09:50:23.6980,2024/05/30 09:50:43.7067,20.0087,JSS_PA,insertJig,WhiteBody:3181
故障,INNFRM_GW_1,2024/05/30 09:50:10.3560,2024/05/30 09:52:49.4825,2:39.1266,JSS_WE,INNFRM_GW,WhiteBody:3277
故障,BRAZE_1,2024/05/30 09:53:58.9426,2024/05/30 09:54:13.4594,14.5168,JSS_WE,BRAZE,WhiteBody:3267
故障,FRFLR_1,2024/05/30 09:54:26.3463,2024/05/30 09:54:40.0859,13.7396,JSS_WE,FRFLR,WhiteBody:3308
故障,B_1,2024/05/30 09:55:00.2591,2024/05/30 09:55:33.1806,32.9215,JSS_AF,B,WhiteBody:2536
故障,removeJig_1,2024/05/30 09:56:22.7683,2024/05/30 09:56:32.2086,9.4404,JSS_PA,removeJig,WhiteBody:2661
故障,liquidWrapping_1,2024/05/30 09:56:02.8543,2024/05/30 09:56:38.3300,35.4757,JSS_PA,liquidWrapping,WhiteBody:2680
故障,FRFLR_1,2024/05/30 09:57:24.5920,2024/05/30 09:57:49.3059,24.7139,JSS_WE,FRFLR,WhiteBody:3311
故障,TGSub_1,2024/05/30 09:58:19.8373,2024/05/30 09:58:52.3270,32.4897,JSS_WE,TGSub,SubPart:8713
故障,sealerOV_1,2024/05/30 09:58:10.4134,2024/05/30 09:58:52.6014,42.1880,JSS_PA,sealerOV,WhiteBody:2990
故障,sealerOV_1,2024/05/30 10:01:42.4025,2024/05/30 10:01:57.9640,15.5615,JSS_PA,sealerOV,WhiteBody:2993
故障,substrateInspectione_1,2024/05/30 10:03:02.5070,2024/05/30 10:03:06.4712,3.9642,JSS_PA,substrateInspectione,WhiteBody:2969
故障,INNFRM_GW_1,2024/05/30 09:59:47.8842,2024/05/30 10:04:42.3583,4:54.4741,JSS_WE,INNFRM_GW,WhiteBody:3284
故障,insertJig_1,2024/05/30 10:04:35.4329,2024/05/30 10:04:58.7657,23.3328,JSS_PA,insertJig,WhiteBody:3198
故障,substrateInspectione_1,2024/05/30 10:05:05.4371,2024/05/30 10:05:33.7501,28.3130,JSS_PA,substrateInspectione,WhiteBody:2971
故障,substrateInspectione_1,2024/05/30 10:06:52.6209,2024/05/30 10:07:13.8341,21.2132,JSS_PA,substrateInspectione,WhiteBody:2973
故障,substrateInspectione_1,2024/05/30 10:08:11.6010,2024/05/30 10:08:14.5714,2.9704,JSS_PA,substrateInspectione,WhiteBody:2974
故障,G_1,2024/05/30 10:08:34.8181,2024/05/30 10:08:55.6610,20.8428,JSS_AF,G,WhiteBody:2406
故障,A_1,2024/05/30 10:08:53.3621,2024/05/30 10:09:09.6076,16.2454,JSS_AF,A,WhiteBody:2601
故障,coatingInspection_1,2024/05/30 10:08:44.1506,2024/05/30 10:09:13.1844,29.0338,JSS_PA,coatingInspection,WhiteBody:2782
故障,substrateInspectione_1,2024/05/30 10:09:32.9253,2024/05/30 10:10:49.3800,1:16.4547,JSS_PA,substrateInspectione,WhiteBody:2975
故障,FRFLR_1,2024/05/30 10:10:44.9979,2024/05/30 10:10:55.4911,10.4932,JSS_WE,FRFLR,WhiteBody:3322
故障,BRAZE_1,2024/05/30 10:10:50.0543,2024/05/30 10:10:59.0978,9.0434,JSS_WE,BRAZE,WhiteBody:3279
故障,sealerOV_1,2024/05/30 10:11:00.6239,2024/05/30 10:11:20.1617,19.5378,JSS_PA,sealerOV,WhiteBody:3002
故障,substrateInspectione_1,2024/05/30 10:13:38.8946,2024/05/30 10:13:59.4713,20.5767,JSS_PA,substrateInspectione,WhiteBody:2978
故障,coatingInspection_1,2024/05/30 10:14:02.2364,2024/05/30 10:14:06.6173,4.3809,JSS_PA,coatingInspection,WhiteBody:2787
故障,CROSSTAR_1,2024/05/30 10:13:55.2128,2024/05/30 10:14:07.2473,12.0345,JSS_WE,RRDOOR,SubPart:8754
故障,FLRCOMP_1,2024/05/30 10:13:57.5440,2024/05/30 10:16:02.9607,2:05.4167,JSS_WE,FLRCOMP,WhiteBody:3309
故障,G_1,2024/05/30 10:17:06.0429,2024/05/30 10:17:27.0894,21.0465,JSS_AF,G,WhiteBody:2414
故障,sealerOV_1,2024/05/30 10:17:25.1565,2024/05/30 10:18:06.0106,40.8541,JSS_PA,sealerOV,WhiteBody:3008
故障,substrateInspectione_1,2024/05/30 10:20:36.0567,2024/05/30 10:20:41.0676,5.0108,JSS_PA,substrateInspectione,WhiteBody:2985
故障,coatingInspection_1,2024/05/30 10:21:46.6460,2024/05/30 10:21:53.7210,7.0751,JSS_PA,coatingInspection,WhiteBody:2795
故障,substrateInspectione_1,2024/05/30 10:22:39.9666,2024/05/30 10:22:51.5070,11.5404,JSS_PA,substrateInspectione,WhiteBody:2987
故障,BRAZE_1,2024/05/30 10:23:16.6110,2024/05/30 10:24:09.7600,53.1491,JSS_WE,BRAZE,WhiteBody:3292
故障,G_1,2024/05/30 10:26:30.0036,2024/05/30 10:26:50.0096,20.0060,JSS_AF,G,WhiteBody:2423
故障,FRFLR_1,2024/05/30 10:26:40.6910,2024/05/30 10:26:59.9881,19.2971,JSS_WE,FRFLR,WhiteBody:3337
故障,F2_1,2024/05/30 10:28:26.0142,2024/05/30 10:28:31.5230,5.5089,JSS_WE,F2,WhiteBody:3259
故障,removeJig_1,2024/05/30 10:29:03.9138,2024/05/30 10:29:22.2780,18.3642,JSS_PA,removeJig,WhiteBody:2693
故障,FLRCOMP_1,2024/05/30 10:28:40.0750,2024/05/30 10:29:38.5210,58.4460,JSS_WE,FLRCOMP,WhiteBody:3322
故障,coatingInspection_1,2024/05/30 10:29:51.3052,2024/05/30 10:30:36.1785,44.8734,JSS_PA,coatingInspection,WhiteBody:2803
故障,C_1,2024/05/30 10:29:05.1023,2024/05/30 10:30:37.3430,1:32.2407,JSS_AF,C,WhiteBody:2540
故障,BRAZE_1,2024/05/30 10:31:49.7502,2024/05/30 10:31:52.8817,3.1315,JSS_WE,BRAZE,WhiteBody:3300
故障,F2_1,2024/05/30 10:32:34.0267,2024/05/30 10:32:50.7355,16.7087,JSS_WE,F2,WhiteBody:3264
故障,CROSSTAR_1,2024/05/30 10:32:33.6868,2024/05/30 10:33:25.1256,51.4387,JSS_WE,RRDOOR,SubPart:8804
故障,BRAZE_1,2024/05/30 10:34:55.1284,2024/05/30 10:35:05.0051,9.8767,JSS_WE,BRAZE,WhiteBody:3303
故障,coatingInspection_1,2024/05/30 10:35:41.0440,2024/05/30 10:35:58.7119,17.6679,JSS_PA,coatingInspection,WhiteBody:2808
故障,F2_1,2024/05/30 10:36:16.7960,2024/05/30 10:36:58.9052,42.1092,JSS_WE,F2,WhiteBody:3267
故障,TGSub_1,2024/05/30 10:38:44.9658,2024/05/30 10:38:54.8679,9.9022,JSS_WE,TGSub,SubPart:8819
故障,substrateInspectione_1,2024/05/30 10:38:38.7916,2024/05/30 10:39:18.4925,39.7009,JSS_PA,substrateInspectione,WhiteBody:3003
故障,FRFLR_1,2024/05/30 10:41:22.9279,2024/05/30 10:41:38.9745,16.0466,JSS_WE,FRFLR,WhiteBody:3352
故障,C_1,2024/05/30 10:41:48.0273,2024/05/30 10:41:58.8310,10.8037,JSS_AF,C,WhiteBody:2552
故障,CROSSTAR_1,2024/05/30 10:43:25.5068,2024/05/30 10:44:05.1786,39.6718,JSS_WE,RRDOOR,SubPart:8826
故障,removeJig_1,2024/05/30 10:43:39.5888,2024/05/30 10:44:45.8272,1:06.2384,JSS_PA,removeJig,WhiteBody:2707
故障,F_1,2024/05/30 10:44:11.9924,2024/05/30 10:47:44.0185,3:32.0261,JSS_AF,F,WhiteBody:2475
故障,CROSSTAR_1,2024/05/30 10:48:26.1588,2024/05/30 10:49:53.5543,1:27.3955,JSS_WE,RRDOOR,SubPart:8826
故障,CROSSTAR_1,2024/05/30 10:50:20.3179,2024/05/30 10:51:10.8164,50.4986,JSS_WE,RRDOOR,SubPart:8826
故障,CROSSTAR_1,2024/05/30 10:56:28.0926,2024/05/30 10:57:09.9191,41.8265,JSS_WE,RRDOOR,SubPart:8826
故障,CROSSTAR_1,2024/05/30 11:02:42.6377,2024/05/30 11:03:18.2792,35.6415,JSS_WE,RRDOOR,SubPart:8826
故障,CROSSTAR_1,2024/05/30 11:18:15.5369,2024/05/30 11:18:49.0280,33.4911,JSS_WE,RRDOOR,SubPart:8826
故障,CROSSTAR_1,2024/05/30 11:30:32.2739,2024/05/30 11:30:59.7368,27.4629,JSS_WE,RRDOOR,SubPart:8828
故障,FRFLR_1,2024/05/30 11:31:05.2784,2024/05/30 11:31:28.7854,23.5070,JSS_WE,FRFLR,WhiteBody:3353
故障,FLRCOMP_1,2024/05/30 11:30:19.3117,2024/05/30 11:32:21.0107,2:01.6990,JSS_WE,FLRCOMP,WhiteBody:3336
故障,sealer_1,2024/05/30 11:32:43.1153,2024/05/30 11:33:08.9079,25.7927,JSS_PA,sealer,WhiteBody:3073
故障,substrateInspectione_1,2024/05/30 11:34:57.1871,2024/05/30 11:35:28.4736,31.2865,JSS_PA,substrateInspectione,WhiteBody:3014
故障,removeJig_1,2024/05/30 11:35:45.1207,2024/05/30 11:36:26.8708,41.7501,JSS_PA,removeJig,WhiteBody:2713
故障,TGSub_1,2024/05/30 11:36:50.2655,2024/05/30 11:37:50.6748,1:00.4094,JSS_WE,TGSub,SubPart:8844
故障,liquidWrapping_1,2024/05/30 11:41:02.0064,2024/05/30 11:42:12.6973,1:10.6909,JSS_PA,liquidWrapping,WhiteBody:2739
故障,substrateInspectione_1,2024/05/30 11:42:12.0953,2024/05/30 11:42:15.6170,3.5217,JSS_PA,substrateInspectione,WhiteBody:3021
故障,coatingInspection_1,2024/05/30 11:42:26.5381,2024/05/30 11:42:57.4568,30.9187,JSS_PA,coatingInspection,WhiteBody:2829
故障,CROSSTAR_1,2024/05/30 11:43:20.1374,2024/05/30 11:44:07.3790,47.2416,JSS_WE,RRDOOR,SubPart:8856
故障,FLRCOMP_1,2024/05/30 11:42:40.2930,2024/05/30 11:44:22.4467,1:42.1537,JSS_WE,FLRCOMP,WhiteBody:3347
故障,BRAZE_1,2024/05/30 11:44:34.5393,2024/05/30 11:44:44.7190,10.1797,JSS_WE,BRAZE,WhiteBody:3326
故障,sealer_1,2024/05/30 11:44:48.6043,2024/05/30 11:45:00.1553,11.5510,JSS_PA,sealer,WhiteBody:3084
故障,CROSSTAR_1,2024/05/30 11:46:36.9144,2024/05/30 11:47:20.1362,43.2217,JSS_WE,RRDOOR,SubPart:8862
故障,FLRCOMP_1,2024/05/30 11:49:20.8396,2024/05/30 11:49:55.3399,34.5003,JSS_WE,FLRCOMP,WhiteBody:3352
故障,substrateInspectione_1,2024/05/30 11:52:11.0566,2024/05/30 11:52:23.3621,12.3055,JSS_PA,substrateInspectione,WhiteBody:3031
故障,FLRCOMP_1,2024/05/30 11:51:38.0099,2024/05/30 11:52:46.9511,1:08.9412,JSS_WE,FLRCOMP,WhiteBody:3354
故障,substrateInspectione_1,2024/05/30 11:52:50.0375,2024/05/30 11:53:01.9537,11.9161,JSS_PA,substrateInspectione,WhiteBody:3032
故障,FRFLR_1,2024/05/30 11:53:45.9195,2024/05/30 11:53:57.3750,11.4555,JSS_WE,FRFLR,WhiteBody:3372
故障,liquidWrapping_1,2024/05/30 11:55:03.5854,2024/05/30 11:55:34.2562,30.6708,JSS_PA,liquidWrapping,WhiteBody:2752
故障,substrateInspectione_1,2024/05/30 11:56:26.4857,2024/05/30 11:56:35.4404,8.9547,JSS_PA,substrateInspectione,WhiteBody:3035
故障,removeJig_1,2024/05/30 11:56:48.0336,2024/05/30 11:57:38.7556,50.7220,JSS_PA,removeJig,WhiteBody:2734
故障,TGSub_1,2024/05/30 11:58:59.1067,2024/05/30 11:59:49.2560,50.1493,JSS_WE,TGSub,SubPart:8889
故障,BRAZE_1,2024/05/30 12:01:23.0293,2024/05/30 12:01:34.6644,11.6350,JSS_WE,BRAZE,WhiteBody:3342
故障,BRAZE_1,2024/05/30 12:02:56.1429,2024/05/30 12:03:14.4423,18.2994,JSS_WE,BRAZE,WhiteBody:3343
故障,G_1,2024/05/30 12:04:32.1314,2024/05/30 12:04:49.4585,17.3271,JSS_AF,G,WhiteBody:2475
故障,BRAZE_1,2024/05/30 12:07:30.3047,2024/05/30 12:07:35.1573,4.8527,JSS_WE,BRAZE,WhiteBody:3348
故障,FRFLR_1,2024/05/30 12:08:59.7580,2024/05/30 12:09:19.5631,19.8051,JSS_WE,FRFLR,WhiteBody:3388
故障,INNFRM_GW_1,2024/05/30 12:07:48.3750,2024/05/30 12:09:54.8251,2:06.4501,JSS_WE,INNFRM_GW,WhiteBody:3360
故障,FLRCOMP_1,2024/05/30 12:10:05.5673,2024/05/30 12:10:36.7392,31.1720,JSS_WE,FLRCOMP,WhiteBody:3372
故障,sealer_1,2024/05/30 12:12:26.3925,2024/05/30 12:13:43.3914,1:16.9989,JSS_PA,sealer,WhiteBody:3111
故障,substrateInspectione_1,2024/05/30 12:14:06.3247,2024/05/30 12:14:25.8233,19.4985,JSS_PA,substrateInspectione,WhiteBody:3053
故障,F_1,2024/05/30 12:14:06.0315,2024/05/30 12:14:32.4928,26.4613,JSS_AF,F,WhiteBody:2519
故障,substrateInspectione_1,2024/05/30 12:14:27.1263,2024/05/30 12:14:50.8118,23.6855,JSS_PA,substrateInspectione,WhiteBody:3053
故障,liquidWrapping_1,2024/05/30 12:15:05.3481,2024/05/30 12:15:50.8102,45.4621,JSS_PA,liquidWrapping,WhiteBody:2772
故障,F3_1,2024/05/30 12:15:59.5602,2024/05/30 12:16:07.5296,7.9694,JSS_WE,F3,WhiteBody:3305
故障,substrateInspectione_1,2024/05/30 12:16:07.1423,2024/05/30 12:16:49.9176,42.7753,JSS_PA,substrateInspectione,WhiteBody:3055
故障,FLRCOMP_1,2024/05/30 12:16:33.3300,2024/05/30 12:17:07.1834,33.8534,JSS_WE,FLRCOMP,WhiteBody:3378
故障,F1_1,2024/05/30 12:15:34.1752,2024/05/30 12:17:16.1619,1:41.9867,JSS_WE,F1,WhiteBody:3332
故障,liquidWrapping_1,2024/05/30 12:16:24.0332,2024/05/30 12:17:40.1001,1:16.0669,JSS_PA,liquidWrapping,WhiteBody:2772
故障,CROSSTAR_1,2024/05/30 12:17:04.8919,2024/05/30 12:17:45.6162,40.7243,JSS_WE,RRDOOR,SubPart:8923
故障,BRAZE_1,2024/05/30 12:17:54.1085,2024/05/30 12:17:57.8969,3.7884,JSS_WE,BRAZE,WhiteBody:3357
故障,G_1,2024/05/30 12:18:45.2815,2024/05/30 12:19:18.2509,32.9695,JSS_AF,G,WhiteBody:2489
故障,removeJig_1,2024/05/30 12:20:48.4283,2024/05/30 12:21:03.7512,15.3228,JSS_PA,removeJig,WhiteBody:2755
故障,FRFLR_1,2024/05/30 12:20:08.1906,2024/05/30 12:21:42.6034,1:34.4128,JSS_WE,FRFLR,WhiteBody:3399
故障,FRFLR_1,2024/05/30 12:22:06.6672,2024/05/30 12:22:38.6943,32.0271,JSS_WE,FRFLR,WhiteBody:3399
故障,TGSub_1,2024/05/30 12:21:47.9806,2024/05/30 12:22:51.6012,1:03.6206,JSS_WE,TGSub,SubPart:8934
故障,substrateInspectione_1,2024/05/30 12:22:43.0728,2024/05/30 12:22:57.8769,14.8041,JSS_PA,substrateInspectione,WhiteBody:3061
故障,FRFLR_1,2024/05/30 12:23:17.5601,2024/05/30 12:24:33.4400,1:15.8799,JSS_WE,FRFLR,WhiteBody:3400
故障,substrateInspectione_1,2024/05/30 12:26:46.9893,2024/05/30 12:26:55.2524,8.2631,JSS_PA,substrateInspectione,WhiteBody:3065
故障,liquidWrapping_1,2024/05/30 12:27:32.9012,2024/05/30 12:28:24.2828,51.3816,JSS_PA,liquidWrapping,WhiteBody:2782
故障,TGSub_1,2024/05/30 12:28:46.0883,2024/05/30 12:29:24.4222,38.3339,JSS_WE,TGSub,SubPart:8947
故障,INNFRM_GW_1,2024/05/30 12:28:30.6392,2024/05/30 12:30:52.0429,2:21.4036,JSS_WE,INNFRM_GW,WhiteBody:3380
故障,FRFLR_1,2024/05/30 12:30:38.3305,2024/05/30 12:31:29.4742,51.1438,JSS_WE,FRFLR,WhiteBody:3406
故障,CROSSTAR_1,2024/05/30 12:29:30.1695,2024/05/30 12:31:42.6371,2:12.4676,JSS_WE,RRDOOR,SubPart:8948
故障,G_1,2024/05/30 12:31:47.2199,2024/05/30 12:32:04.0323,16.8124,JSS_AF,G,WhiteBody:2501
故障,F2_1,2024/05/30 12:36:23.4652,2024/05/30 12:36:30.9585,7.4933,JSS_WE,F2,WhiteBody:3340
故障,D_1,2024/05/30 12:37:05.7339,2024/05/30 12:37:18.4721,12.7382,JSS_AF,D,WhiteBody:2594
故障,F_1,2024/05/30 12:35:38.5394,2024/05/30 12:37:26.0574,1:47.5180,JSS_AF,F,WhiteBody:2540
故障,A_1,2024/05/30 12:36:12.0746,2024/05/30 12:37:59.4425,1:47.3679,JSS_AF,A,WhiteBody:2703
故障,F1_1,2024/05/30 12:37:32.1613,2024/05/30 12:38:00.5438,28.3825,JSS_WE,F1,WhiteBody:3353
故障,FRFLR_1,2024/05/30 12:37:45.2133,2024/05/30 12:38:15.6986,30.4853,JSS_WE,FRFLR,WhiteBody:3413
故障,F3_1,2024/05/30 12:38:13.7071,2024/05/30 12:38:20.4453,6.7382,JSS_WE,F3,WhiteBody:3327
故障,A_1,2024/05/30 12:39:39.3546,2024/05/30 12:39:54.3626,15.0080,JSS_AF,A,WhiteBody:2705
故障,substrateInspectione_1,2024/05/30 12:39:25.7927,2024/05/30 12:39:59.7946,34.0019,JSS_PA,substrateInspectione,WhiteBody:3078
故障,FLRCOMP_1,2024/05/30 12:39:53.2054,2024/05/30 12:40:49.8470,56.6417,JSS_WE,FLRCOMP,WhiteBody:3403
故障,liquidWrapping_1,2024/05/30 12:40:39.2955,2024/05/30 12:42:07.5265,1:28.2310,JSS_PA,liquidWrapping,WhiteBody:2794
故障,INNFRM_GW_1,2024/05/30 12:40:49.2000,2024/05/30 12:42:53.6101,2:04.4101,JSS_WE,INNFRM_GW,WhiteBody:3390
故障,A_1,2024/05/30 12:44:49.8532,2024/05/30 12:45:22.8804,33.0272,JSS_AF,A,WhiteBody:2710
故障,TGSub_1,2024/05/30 12:45:03.2226,2024/05/30 12:45:48.2054,44.9828,JSS_WE,TGSub,SubPart:8979
故障,liquidWrapping_1,2024/05/30 12:45:06.6813,2024/05/30 12:45:56.9142,50.2329,JSS_PA,liquidWrapping,WhiteBody:2797
故障,F1_1,2024/05/30 12:47:37.8825,2024/05/30 12:48:20.4050,42.5225,JSS_WE,F1,WhiteBody:3362
故障,sealerOV_1,2024/05/30 12:48:33.3190,2024/05/30 12:49:24.0065,50.6875,JSS_PA,sealerOV,WhiteBody:3114
故障,BRAZE_1,2024/05/30 12:49:29.8334,2024/05/30 12:49:51.0183,21.1849,JSS_WE,BRAZE,WhiteBody:3385
故障,F3_1,2024/05/30 12:49:27.0742,2024/05/30 12:49:52.9836,25.9094,JSS_WE,F3,WhiteBody:3338
故障,G_1,2024/05/30 12:50:22.5739,2024/05/30 12:50:37.5120,14.9381,JSS_AF,G,WhiteBody:2519
故障,substrateInspectione_1,2024/05/30 12:50:30.9261,2024/05/30 12:50:41.8011,10.8750,JSS_PA,substrateInspectione,WhiteBody:3089
故障,BRAZE_1,2024/05/30 12:50:37.7102,2024/05/30 12:50:47.7333,10.0231,JSS_WE,BRAZE,WhiteBody:3386
故障,B_1,2024/05/30 12:50:39.3672,2024/05/30 12:51:26.0759,46.7087,JSS_AF,B,WhiteBody:2665
故障,F2_1,2024/05/30 12:51:40.9747,2024/05/30 12:52:16.6953,35.7205,JSS_WE,F2,WhiteBody:3355
故障,CROSSTAR_1,2024/05/30 12:53:35.0972,2024/05/30 12:54:18.4508,43.3536,JSS_WE,RRDOOR,SubPart:8996
故障,removeJig_1,2024/05/30 12:57:17.3186,2024/05/30 12:57:36.6878,19.3692,JSS_PA,removeJig,WhiteBody:2789
故障,FRFLR_1,2024/05/30 12:57:13.4772,2024/05/30 12:57:54.2754,40.7983,JSS_WE,FRFLR,WhiteBody:3433
故障,TGSub_1,2024/05/30 12:55:53.0916,2024/05/30 12:58:37.5259,2:44.4344,JSS_WE,TGSub,SubPart:8999
故障,substrateInspectione_1,2024/05/30 12:58:39.8259,2024/05/30 12:59:06.7882,26.9623,JSS_PA,substrateInspectione,WhiteBody:3098
故障,BRAZE_1,2024/05/30 12:59:10.2507,2024/05/30 12:59:44.0192,33.7685,JSS_WE,BRAZE,WhiteBody:3395
故障,liquidWrapping_1,2024/05/30 13:00:09.2112,2024/05/30 13:00:42.7166,33.5055,JSS_PA,liquidWrapping,WhiteBody:2811
故障,BRAZE_1,2024/05/30 13:01:34.1386,2024/05/30 13:02:51.3451,1:17.2065,JSS_WE,BRAZE,WhiteBody:3397
故障,BRAZE_1,2024/05/30 13:03:23.5879,2024/05/30 13:03:29.0232,5.4352,JSS_WE,BRAZE,WhiteBody:3398
故障,F2_1,2024/05/30 13:03:25.0161,2024/05/30 13:03:36.0303,11.0142,JSS_WE,F2,WhiteBody:3366
故障,BRAZE_1,2024/05/30 13:04:30.8478,2024/05/30 13:04:40.7578,9.9100,JSS_WE,BRAZE,WhiteBody:3399
故障,CROSSTAR_1,2024/05/30 13:03:47.7245,2024/05/30 13:04:53.6543,1:05.9298,JSS_WE,RRDOOR,SubPart:9012
故障,FLRCOMP_1,2024/05/30 13:03:17.6347,2024/05/30 13:05:03.5447,1:45.9100,JSS_WE,FLRCOMP,WhiteBody:3426
故障,TGSub_1,2024/05/30 13:05:16.6874,2024/05/30 13:05:43.4372,26.7498,JSS_WE,TGSub,SubPart:9015
故障,liquidWrapping_1,2024/05/30 13:05:34.8867,2024/05/30 13:05:55.8362,20.9494,JSS_PA,liquidWrapping,WhiteBody:2816
故障,substrateInspectione_1,2024/05/30 13:07:06.0695,2024/05/30 13:07:19.0050,12.9356,JSS_PA,substrateInspectione,WhiteBody:3106
故障,substrateInspectione_1,2024/05/30 13:07:20.0093,2024/05/30 13:07:24.4235,4.4142,JSS_PA,substrateInspectione,WhiteBody:3106
機種CH,FRFLR_1,2024/05/30 13:05:54.7577,2024/05/30 13:07:54.7577,2:00.0000,JSS_WE,FRFLR,WhiteBody:3442
故障,sealerOV_1,2024/05/30 13:07:40.8458,2024/05/30 13:08:21.2247,40.3789,JSS_PA,sealerOV,WhiteBody:3132
故障,substrateInspectione_1,2024/05/30 13:09:21.6555,2024/05/30 13:09:41.8758,20.2203,JSS_PA,substrateInspectione,WhiteBody:3108
故障,BRAZE_1,2024/05/30 13:09:46.7029,2024/05/30 13:10:09.6657,22.9627,JSS_WE,BRAZE,WhiteBody:3404
故障,F3_1,2024/05/30 13:10:17.2793,2024/05/30 13:10:58.0339,40.7546,JSS_WE,F3,WhiteBody:3359
故障,coatingInspection_1,2024/05/30 13:12:13.6513,2024/05/30 13:12:30.9531,17.3018,JSS_PA,coatingInspection,WhiteBody:2912
故障,F2_1,2024/05/30 13:13:17.4495,2024/05/30 13:13:32.1704,14.7208,JSS_WE,F2,WhiteBody:3374
故障,substrateInspectione_1,2024/05/30 13:13:00.7640,2024/05/30 13:13:51.3462,50.5822,JSS_PA,substrateInspectione,WhiteBody:3112
故障,liquidWrapping_1,2024/05/30 13:13:20.7368,2024/05/30 13:15:06.4777,1:45.7408,JSS_PA,liquidWrapping,WhiteBody:2824
故障,substrateInspectione_1,2024/05/30 13:15:58.9016,2024/05/30 13:16:09.6650,10.7634,JSS_PA,substrateInspectione,WhiteBody:3114
故障,F3_1,2024/05/30 13:15:31.9632,2024/05/30 13:16:09.7275,37.7643,JSS_WE,F3,WhiteBody:3363
