停止理由,セル番号,停止開始時刻,停止解消時刻,停止時間,大工程,中工程,MU名
故障,CROSSTAR_1,2024/05/29 14:23:57.7697,2024/05/29 14:24:35.8556,38.0859,JSS_WE,RRDOOR,SubPart:8188
故障,CROSSTAR_1,2024/05/29 14:29:36.6219,2024/05/29 14:30:22.7734,46.1516,JSS_WE,RRDOOR,SubPart:8188
故障,CROSSTAR_1,2024/05/29 14:44:25.0344,2024/05/29 14:45:03.8391,38.8047,JSS_WE,RRDOOR,SubPart:8188
故障,CROSSTAR_1,2024/05/29 15:41:29.7167,2024/05/29 15:41:42.3357,12.6189,JSS_WE,RRDOOR,SubPart:8188
故障,CROSSTAR_1,2024/05/29 15:51:10.3990,2024/05/29 15:51:52.8760,42.4770,JSS_WE,RRDOOR,SubPart:8188
故障,CROSSTAR_1,2024/05/29 16:12:10.0262,2024/05/29 16:12:54.0522,44.0260,JSS_WE,RRDOOR,SubPart:8188
故障,CROSSTAR_1,2024/05/29 16:34:26.1970,2024/05/29 16:35:34.4294,1:08.2323,JSS_WE,RRDOOR,SubPart:8188
故障,CROSSTAR_1,2024/05/29 16:43:25.2197,2024/05/29 16:44:39.1310,1:13.9114,JSS_WE,RRDOOR,SubPart:8188
故障,CROSSTAR_1,2024/05/29 17:14:04.3541,2024/05/29 17:14:38.2092,33.8551,JSS_WE,RRDOOR,SubPart:8188
故障,CROSSTAR_1,2024/05/29 17:16:34.8706,2024/05/29 17:16:52.3576,17.4870,JSS_WE,RRDOOR,SubPart:8188
故障,CROSSTAR_1,2024/05/29 17:26:47.3163,2024/05/29 17:27:50.2918,1:02.9755,JSS_WE,RRDOOR,SubPart:8188
故障,CROSSTAR_1,2024/05/29 18:20:51.7062,2024/05/29 18:21:48.1498,56.4436,JSS_WE,RRDOOR,SubPart:8188
故障,CROSSTAR_1,2024/05/29 18:28:56.0695,2024/05/29 18:30:15.2777,1:19.2082,JSS_WE,RRDOOR,SubPart:8188
故障,CROSSTAR_1,2024/05/29 18:50:05.5446,2024/05/29 18:51:12.8508,1:07.3062,JSS_WE,RRDOOR,SubPart:8188
故障,CROSSTAR_1,2024/05/29 19:06:08.4652,2024/05/29 19:06:35.2386,26.7734,JSS_WE,RRDOOR,SubPart:8188
故障,CROSSTAR_1,2024/05/29 19:14:45.6950,2024/05/29 19:15:24.4858,38.7908,JSS_WE,RRDOOR,SubPart:8188
故障,CROSSTAR_1,2024/05/29 19:35:14.7101,2024/05/29 19:36:30.4227,1:15.7126,JSS_WE,RRDOOR,SubPart:8188
故障,CROSSTAR_1,2024/05/29 19:54:12.9869,2024/05/29 19:54:49.2758,36.2890,JSS_WE,RRDOOR,SubPart:8188
故障,CROSSTAR_1,2024/05/29 20:13:46.9313,2024/05/29 20:14:21.9425,35.0112,JSS_WE,RRDOOR,SubPart:8188
